id,today,zone,lga_name,ward,community,project_title,project_id,project_sector,project_year,gps,X_gps_latitude,X_gps_longitude,picture,project_status,remark,state
41,12/8/11,3_NE,Bauchi,Luda,Basi,VIP TOILETS,CGS/BA/BA/018/2008,Water and Sanitation,2008,10.098543763160706 9.881343841552734 564.0 4.0,10.09854376,9.881343842,1323328301794.jpg,Completed & Functional,Poor quality work,BA
42,12/8/11,3_NE,Kwami,Daba,Daba,Hand pump in Daba PHCs,CGS 999999999,Water and Sanitation,2007,10.424641370773315 11.377544403076172 340.0 4.0,10.42464137,11.3775444,1323358891583.jpg,Completed & Functional,NA,GO
43,12/8/11,3_NE,Kwami,jurara,jurara,Hand pump PHC,xxxxxxxxx,Water and Sanitation,2007,10.425483584403992 11.378037929534912 339.0 4.0,10.42548358,11.37803793,1323359223748.jpg,Completed but not Functional,stop working,GO
44,12/8/11,3_NE,Bauchi,Bigi,Bigi,VIP TOILETS,CGS/BA/BA/019/2008,Water and Sanitation,2008,10.26573657989502 9.843696355819702 590.0 4.0,10.26573658,9.843696356,1323324382287.jpg,Completed & Functional,Satisfactory,BA
45,12/8/11,3_NE,Kwamis,jurara,jurara,Hand pump boreholes,xxxxxxxxxxxx,Water and Sanitation,2008,10.501556396484375 11.369433403015137 295.0 4.0,10.5015564,11.3694334,1323360167729.jpg,Completed & Functional,very good work,GO
46,12/6/11,3_NE,Bauchi,Bauchi,Ang.Doya Gombe road,Doya Health center,HLT/NHIS/BAU/09/017,Healthcare,2009,10.315459370613098 9.851828813552856 647.0 6.0,10.31545937,9.851828814,1323157319739.jpg,On-going,Satisfactory,BA
47,12/8/11,5_SS,Yala,Okuku,Okuku,Construction of PHCs,CGS/CR/YA//050/2009,Healthcare,2009,6.721696257591248 8.768725991249084 132.0 4.0,6.721696258,8.768725991,1323359510470.jpg,On-going,On-going,CR
48,12/9/11,5_SS,Esan West,ward 7,Ukpenu,Drilling 104 solar boreholes and upgrading existing boreholes,CGS/ED/ES//039/2008,Water and Sanitation,2008,6.741957664489746 6.136170029640198 390.0 3.0,6.741957664,6.13617003,1323445807492.jpg,Abandoned,water not running,ED
49,12/8/11,3_NE,wukari,kente,kente,upgrading of maternity,cgs/ta/wu/04/2008,Healthcare,2008,7.896155118942261 9.483625888824463 167.0 4.0,7.896155119,9.483625889,1323358754936.jpg,Completed & Functional,ok,TA
50,12/9/11,5_SS,Esan Central,Ward 9,Eguare Opoji,Handpump,QWN/EDO/LT6/08/003,Education,2008,6.694766879081726 6.19853138923645 384.0 3.0,6.694766879,6.198531389,1323457110855.jpg,Not Started,Not done,ED
51,12/8/11,4_SE,Awgu,Awgu,Awgu,Consultancy,EDU/NTI/ENU/09/028,Education,2009,6.075466275215149 7.473900318145752 218.0 4.0,6.075466275,7.473900318,1323354283032.jpg,Completed & Functional,Principal is not around to make enquiries on Consultancy,EN
52,12/8/11,4_SE,Awgu,Awgu,Awgu,Monitoring & Quality Assurance,EDU/NTI/ENU/09/022,Education,2009,6.0754770040512085 7.473814487457275 218.0 4.0,6.075477004,7.473814487,1323353918855.jpg,Completed & Functional,Principal was not around to make further enquiries,EN
53,12/8/11,4_SE,Awgu,"Ogboli
",Ogboli,Procurement of Drugs and other commoditie for health facilities,CGS/EN/AW/06/2009,Healthcare,2009,6.083963513374329 7.503082752227783 122.0 4.0,6.083963513,7.503082752,1323357248349.jpg,On-going,Ongoin and as such equipment are kept aside,EN
54,12/9/11,5_SS,ESAN WEST,ward 3,Egoro- Naoka,Classroom block + VIP toilets,"QWN/EDO/LT/09/008
",Education,2009,6.614407896995544 6.15933358669281 261.0 4.0,6.614407897,6.159333587,1323453559901.jpg,On-going,NA,ED
55,12/9/11,5_SS,Esan West,Ward 2,Ujiogba,Construction/renovation of labour/maternity wards and PHCs  ,CGS/ED/ES//040/2008,Healthcare,2008,6.530331373214722 6.144763827323914 196.0 3.0,6.530331373,6.144763827,1323463748734.jpg,Completed & Functional,Good,ED
56,12/8/11,4_SE,Awgu,"
Ajaba",Ajaba,Supply of basic Drugs,QWN/ENU/LT3/09/002,Healthcare,2009,6.2600719928741455 7.468053102493286 229.0 3.0,6.260071993,7.468053102,1323413461268.jpg,Completed & Functional,No staff on sight to capture the drugs,EN
57,12/8/11,4_SE,Awgu.,Agbogugu,Agbogugu,Library/computer cemtreu,QWN/ENU/LT1/08/019,Education,2008,6.254192590713501 7.47344434261322 217.0 4.0,6.254192591,7.473444343,1323412631182.jpg,Completed & Functional,NA,EN
58,12/9/11,4_SE,Awgu,Nkwe,Nkwe,Procurement of equipment for 65 health facilities,CGS/EN/AW/02/2009,Healthcare,2009,6.309483647346497 7.554157376289368 174.0 4.0,6.309483647,7.554157376,1323422666588.jpg,Completed & Functional,NA,EN
59,12/8/11,4_SE,Awgu,Agbogugu,Agbogugu,Library furniture,QWN/ENU/LT45/08/018,Education,2008,6.2543052434921265 7.473331689834595 217.0 4.0,6.254305243,7.47333169,1323412787512.jpg,Completed & Functional,NA,EN
60,12/9/11,4_SE,Awgu ,Nkwe,Nkwe,Procurement of drugs and other commodities for health facilities,CGS/EN/AW/07/2009,Healthcare,2009,6.260002255439758 7.468015551567078 218.0 4.0,6.260002255,7.468015552,1323413951853.jpg,Completed & Functional,NA,EN
61,12/8/11,4_SE,Awgu ,Owell,Owell/Amoli/Ugbo/Ogugu,Rehabilitation of existing shalow well,CGS/EN/AW/01/2008,Water and Sanitation,2008,6.307568550109863 7.516992688179016 203.0 4.0,6.30756855,7.516992688,1323419474050.jpg,Abandoned,NA,EN
62,12/7/11,4_SE,Aninri.,"Agwugwu, Ohafia","Agwugwu, Ohafia",Classroom Furniture,QWN/ENU/LT4/09/001,Education,2009,6.0450661182403564 7.668725252151489 118.0 4.0,6.045066118,7.668725252,1323274920257.jpg,Abandoned,furniture not supplied,EN
63,12/8/11,4_SE,Awgu,Ogboli,Ogboli,Procurement of equipment for 65 health facilities,CGS/EN/AW/04/2009,Healthcare,2009,6.083979606628418 7.503034472465515 110.0 4.0,6.083979607,7.503034472,1323356785123.jpg,On-going,NA,EN
64,12/6/11,3_NE,Gombe,Shamaki,Koran zaki(Jauro abare),Handpump,999999999,Water and Sanitation,2009,10.311961770057678 11.167023181915283 482.0 4.0,10.31196177,11.16702318,1323180568858.jpg,Completed but not Functional,Broken mechanism,GO
65,12/9/11,5_SS,SAPELE,EDEGBRODE ,EDEGBRODE ELUME,SOLAR POWERED BOREHOLE,QWN/DEL/LT6/09/0004,Water and Sanitation,2009,5.741558074951172 5.676863193511963 27.0 4.0,5.741558075,5.676863194,1323438630970.jpg,Completed & Functional,COMPLETED & FUNCTIONAL,DE
66,12/6/11,3_NE,Gombe,Shamaki,Jauro kuna,Handpump,999999999,Water and Sanitation,2008,10.307874083518982 11.169818043708801 482.0 4.0,10.30787408,11.16981804,1323182664381.jpg,Functional but not Completed,Pump mechanism is bad,GO
67,12/10/11,5_SS,Esan North East,Ward 5,Amedokhian Uromi,Classroom Furniture,QWN/EDO/LT4/09/005,Education,2009,6.727151870727539 6.393018364906311 300.0 4.0,6.727151871,6.393018365,1323529793919.jpg,Completed & Functional,Supplied,ED
68,12/10/11,5_SS,ESAN NORTH EAST,Ward 8,IDUMU ONIHA UROMI,CLASSROOM FURNITURE,QWN/EDO/LT45/08/002A,Education,2008,6.692315340042114 6.330351233482361 398.0 4.0,6.69231534,6.330351233,1323533909636.jpg,Completed & Functional,Good,ED
69,12/10/11,5_SS,ESAN NORTH EAST,Ward 8,IDUMU ONIHA UROMI,3 CLASSROOM BLOCK WITH VIP TOILET,QWN/EDO/LT1/08/027,Education,2008,6.6923582553863525 6.330313682556152 407.0 4.0,6.692358255,6.330313683,1323533824706.jpg,Completed & Functional,NA,ED
70,12/10/11,5_SS,ESAN NORTH EAST,Ward 8,IDUMU -ONIHA UROMI,SUPPLY OF SCHOOL FURNITURE,QWN/EDO/LT4/09/025,Education,2009,6.6924601793289185 6.330152750015259 398.0 4.0,6.692460179,6.33015275,1323532955059.jpg,Completed & Functional,NA,ED
71,12/10/11,5_SS,Esan North East,Ward 8,IDUMU ONIHA UROMI,CLASSROOM FURNITURE ,QWN/EDO/LT45/08/002B,Education,2008,6.692331433296204 6.330319046974182 401.0 4.0,6.692331433,6.330319047,1323533663017.jpg,Completed & Functional,NA,ED
72,11/15/11,3_NE,takum,chanchanji,kunkunu,handpump   borehole,cgs/ta/ta/ku/2007,Water and Sanitation,2007,7.32214629650116 9.95934784412384 252.0 4.0,7.322146297,9.959347844,1321339260912.jpg,Completed & Functional,in good condition,TA
73,11/14/11,3_NE,takum,rogo,rogo,handpump borehole,qwn/tar/lLT/09/085,Water and Sanitation,2009,7.255316376686096 9.984506964683533 279.0 4.0,7.255316377,9.984506965,1321278079163.jpg,Completed but not Functional,broken down needs replacement of vital parts,TA
74,11/14/11,3_NE,takum,dutse,ikam II,handpump borehole,qwn/tar/LT6/09/083,Water and Sanitation,2009,7.259087562561035 9.994382858276367 282.0 4.0,7.259087563,9.994382858,1321279294981.jpg,Completed & Functional,good condition,TA
75,12/10/11,5_SS,Esan North East,Ward 11,UBIERUMU UROMI,SUPPLY OF SCHOOL FURNITURE,QWN/EDO/LT4/09/026,Education,2009,6.672011017799377 6.28668487071991 374.0 4.0,6.672011018,6.286684871,1323536798235.jpg,Completed & Functional,NA,ED
76,11/14/11,3_NE,takum,dutse,tampa,handpump borehole,cgs/ta/ta/2007,Water and Sanitation,2007,7.229121923446655 9.98381495475769 281.0 4.0,7.229121923,9.983814955,1321276425750.jpg,Completed but not Functional,"
not functional right from onset",TA
77,11/14/11,3_NE,takum,chanchanji,chanchanji,handpump borehole,cgs/ta/ta/ch/2007,Water and Sanitation,2007,7.49841034412384 9.938533902168274 181.0 4.0,7.498410344,9.938533902,1321276974563.jpg,Completed & Functional,functional,TA
78,11/14/11,3_NE,takum,chanchanji,kofar ahmadu,upgrading&renovation of maternity clinic,cgs/ta/ta/59/01/2008,Healthcare,2008,7.39130973815918 9.946146011352539 220.0 4.0,7.391309738,9.946146011,1321274600894.jpg,Completed & Functional,functional,TA
79,11/14/11,3_NE,takum,chanchanji,kofar ahmadu,handpump borehole,cgs/ta/ta/ko/2007,Water and Sanitation,2007,7.391642332077026 9.945829510688782 216.0 4.0,7.391642332,9.945829511,1321275022881.jpg,Completed but not Functional,broken down,TA
80,11/14/11,3_NE,takum,chanchanji,koar ahmadu,handpump borehole,cga/ta/ta/ch/ko/2007,Water and Sanitation,2007,7.394571304321289 9.94411826133728 211.0 4.0,7.394571304,9.944118261,1321275610971.jpg,Completed & Functional,undergoing rehabilitation,TA
81,11/14/11,3_NE,takum,chanchanji,chanchanji,handpump borehole,cgs/ta/ta/ch/ch/2007,Water and Sanitation,2007,7.498834133148193 9.939563870429993 187.0 4.0,7.498834133,9.93956387,1321277322489.jpg,Completed & Functional,functional,TA
82,11/14/11,3_NE,takum,dutse,muji,handpump borehole, cgs/ta/ta/mu/2007,Water and Sanitation,2007,7.270798087120056 10.091500282287598 231.0 4.0,7.270798087,10.09150028,1321274766304.jpg,Completed & Functional,is in use but requires replacement of some parts,TA
83,12/10/11,3_NE,wukari,avyi,wapan nghaku,hand pump,cgs/ta/wu/av/wa/2007,Water and Sanitation,2007,7.876419425010681 9.76182997226715 218.0 4.0,7.876419425,9.761829972,1323514107619.jpg,Completed & Functional,ok,TA
84,12/11/11,3_NE,KALA BALGE,KALA,KALA,MCH,QWN,Healthcare,2011,12.082992196083069 14.464595317840576 311.0 4.0,12.0829922,14.46459532,1323604016381.jpg,On-going,NA,BO
85,12/12/11,5_SS,WARRI SOUTH,UBEJI,UBEJI PRY  SCHL.,3 CLASSROOM BLOCK WITH VIP TOILET,QWN/DEL/LT1/08/011,Education,2008,5.57157576084137 5.703792572021484 30.0 4.0,5.571575761,5.703792572,1323692353140.jpg,Completed & Functional,COMLETED & FUNCTIONAL,DE
86,12/11/11,5_SS,uwvie,effurun,our ladies girls model college effurun,monitoring & quality assurance,edu/nti/del/09/033,Education,2009,5.546931624412537 5.777982473373413 40.0 4.0,5.546931624,5.777982473,1323588917166.jpg,Completed & Functional,not accesable,DE
87,12/10/11,5_SS,uvwie,uwie,ekpan 11phc,branded anti malaria combination therapy,cgs/de/uv/010/2009,Healthcare,2009,5.564848780632019 5.73811948299408 30.0 4.0,5.564848781,5.738119483,1323519765996.jpg,Completed & Functional,supplied,DE
88,12/12/11,5_SS,WARRI SOUTH,UBEJI,UBEJI PRY  SCHL.,3 CLASSROOM BLOCK WITH VIP TOILET,QWN/DEL/LT1/08/011,Education,2008,5.57157576084137 5.703792572021484 30.0 4.0,5.571575761,5.703792572,1323692353140.jpg,Completed & Functional,COMLETED & FUNCTIONAL,DE
89,12/10/11,5_SS,warri south,ugbuwangne,ugbuwangne phc,branded anti malaria therapy,cgs/de/wa/2009,Healthcare,2009,5.529448986053467 5.718174576759338 16.0 4.0,5.529448986,5.718174577,1323524583768.jpg,Completed & Functional,supplied,DE
90,12/10/11,5_SS,WARRI SOUTH,EKUREDE- URHOBO,EKUREDE-URHOBO PRY SCHL.,PROVISION OF SQUAT TOILET,CGS/DE/WA/016/2009,Water and Sanitation,2009,5.529191493988037 5.728324055671692 31.0 2.0,5.529191494,5.728324056,1323523840285.jpg,Completed & Functional,COMPLETED,DE
91,12/10/11,5_SS,warri south,2709,ugbuwague phc,medical obstetrics equipment for health facilities,cgs/de/wa/27/2008,Healthcare,2009,5.529347062110901 5.718351602554321 26.0 4.0,5.529347062,5.718351603,1323525077902.jpg,Not Started,not suppiled,DE
92,12/11/11,5_SS,uwvie,effurun,our ladies girls effurun,participants and resource persons allowance,edu/nti/del/09/017,Education,2009,5.547022819519043 5.7780522108078 20.0 4.0,5.54702282,5.778052211,1323588781429.jpg,Completed & Functional,not accessable,DE
93,12/12/11,5_SS,OKPE,UGHOTON PHC,UGHOTON PHC,SUPPLY OF EQUIPMENT ,CGS/DE/OK/2008,Healthcare,2008,5.609142780303955 5.668301582336426 29.0 3.0,5.60914278,5.668301582,1323696112225.jpg,Completed & Functional,FUNCTIONAL,DE
94,12/10/11,5_SS,uvwie,uvwie,alaka community,qwn/de/uw/2009,motorise borehole,Water and Sanitation,2009,5.557499527931213 5.786281228065491 29.0 4.0,5.557499528,5.786281228,1323516440016.jpg,Completed & Functional,in use,DE
95,12/11/11,5_SS,ESAN SOUTH EAST,WARD 4,OHORDUA,OHORDUA PHC,HLT/MSS/EDO/09/008,Healthcare,2009,6.490076780319214 6.414363384246826 178.0 3.0,6.49007678,6.414363384,1323634486018.jpg,On-going,MSS is still working,ED
96,12/11/11,5_SS,ESAN SOUTH EAST,WARD 9,ILLUSHI UBIAJA,ILLUSHI PHC,HLT/MSS/EDO/09/005,Healthcare,2009,6.670020818710327 6.618409752845764 55.0 3.0,6.670020819,6.618409753,1323629267552.jpg,Completed & Functional,"In this PHC, they have the problem of bat invasion as well as worm problems and also water problem
 ",ED
97,12/11/11,5_SS,ESAN SOUTH EAST,Ward,"UGBOHA, UBIAJA",UGBOHA PHC,HLT/MSS/EDO/09/007,Healthcare,2009,6.734667420387268 6.45597517490387 144.0 4.0,6.73466742,6.455975175,1323639923442.jpg,Completed & Functional,IT IS ON,ED
98,12/11/11,5_SS,ESAN SOUTH EAST,Ward 7,UDAKPA,Library Furniture,QWN/EDO/LT4/09/011,Education,2009,6.650633811950684 6.452820897102356 268.0 4.0,6.650633812,6.452820897,1323625819986.jpg,Not Started,Nothing on ground,ED
99,12/11/11,5_SS,ESAN SOUTH EAST,Ward,EGUARE EWATTO,EWATTO PHC,HLT/MSS/EDO/09/006,Healthcare,2009,6.51614785194397 6.354560852050781 281.0 4.0,6.516147852,6.354560852,1323632698251.jpg,Completed & Functional,It is working,ED
100,12/11/11,5_SS,ESAN CENTRAL,Ward,Esan Central ,COMPREHENSIVE LITERACY SURVEY,EDU/NMEC/09/005,Cross cutting,2009,6.6601234674453735 6.393672823905945 303.0 4.0,6.660123467,6.393672824,1323631355606.jpg,Completed & Functional,NA,ED
